anio,departamento/sede,tipo,valor
2018,BAHIA BLANCA Sede TRES ARROYOS,Allanamiento,30
2018,DOLORES,Allanamiento,0
2018,JUNIN,Allanamiento,6
2018,LA MATANZA,Allanamiento,3
2018,LA PLATA,Allanamiento,4
2018,LOMAS DE ZAMORA,Allanamiento,4
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Allanamiento,0
2018,LOMAS DE ZAMORA Sede LANUS,Allanamiento,0
2018,MAR DEL PLATA,Allanamiento,6
2018,MERCEDES,Allanamiento,3
2018,MORENO-GRAL.RODRIGUEZ,Allanamiento,0
2018,MORON,Allanamiento,2
2018,NECOCHEA,Allanamiento,3
2018,PERGAMINO,Allanamiento,7
2018,QUILMES,Allanamiento,7
2018,SAN ISIDRO,Allanamiento,11
2018,SAN MARTIN,Allanamiento,6
2018,SAN NICOLAS,Allanamiento,0
2018,TRENQUE LAUQUEN,Allanamiento,0
2018,ZARATE-CAMPANA,Allanamiento,1
2018,AZUL,Transacción,129
2018,AZUL Sede OLAVARRIA,Transacción,74
2018,AZUL Sede TANDIL,Transacción,57
2018,BAHIA BLANCA,Transacción,156
2018,BAHIA BLANCA Sede TRES ARROYOS,Transacción,29
2018,DOLORES,Transacción,79
2018,JUNIN,Transacción,198
2018,LA MATANZA,Transacción,344
2018,LA PLATA,Transacción,530
2018,LOMAS DE ZAMORA,Transacción,984
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Transacción,57
2018,LOMAS DE ZAMORA Sede LANUS,Transacción,189
2018,MAR DEL PLATA,Transacción,446
2018,MERCEDES,Transacción,486
2018,MORENO-GRAL.RODRIGUEZ,Transacción,119
2018,MORON,Transacción,890
2018,NECOCHEA,Transacción,36
2018,PERGAMINO,Transacción,78
2018,QUILMES,Transacción,422
2018,SAN ISIDRO,Transacción,1239
2018,SAN MARTIN,Transacción,591
2018,SAN NICOLAS,Transacción,70
2018,TRENQUE LAUQUEN,Transacción,60
2018,ZARATE-CAMPANA,Transacción,183
2018,AZUL,Caducidad,129
2018,AZUL Sede OLAVARRIA,Caducidad,488
2018,AZUL Sede TANDIL,Caducidad,81
2018,BAHIA BLANCA,Caducidad,15
2018,BAHIA BLANCA Sede TRES ARROYOS,Caducidad,7
2018,DOLORES,Caducidad,109
2018,JUNIN,Caducidad,43
2018,LA MATANZA,Caducidad,1215
2018,LA PLATA,Caducidad,382
2018,LOMAS DE ZAMORA,Caducidad,246
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Caducidad,28
2018,LOMAS DE ZAMORA Sede LANUS,Caducidad,16
2018,MAR DEL PLATA,Caducidad,135
2018,MERCEDES,Caducidad,310
2018,MORENO-GRAL.RODRIGUEZ,Caducidad,31
2018,MORON,Caducidad,765
2018,NECOCHEA,Caducidad,12
2018,PERGAMINO,Caducidad,1
2018,QUILMES,Caducidad,106
2018,SAN ISIDRO,Caducidad,1819
2018,SAN MARTIN,Caducidad,491
2018,SAN NICOLAS,Caducidad,20
2018,TRENQUE LAUQUEN,Caducidad,10
2018,ZARATE-CAMPANA,Caducidad,61
2018,AZUL,Desistimiento,63
2018,AZUL Sede OLAVARRIA,Desistimiento,36
2018,AZUL Sede TANDIL,Desistimiento,21
2018,BAHIA BLANCA,Desistimiento,182
2018,BAHIA BLANCA Sede TRES ARROYOS,Desistimiento,23
2018,DOLORES,Desistimiento,10
2018,JUNIN,Desistimiento,16
2018,LA MATANZA,Desistimiento,232
2018,LA PLATA,Desistimiento,87
2018,LOMAS DE ZAMORA,Desistimiento,324
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Desistimiento,1
2018,LOMAS DE ZAMORA Sede LANUS,Desistimiento,3
2018,MAR DEL PLATA,Desistimiento,67
2018,MERCEDES,Desistimiento,93
2018,MORENO-GRAL.RODRIGUEZ,Desistimiento,41
2018,MORON,Desistimiento,220
2018,NECOCHEA,Desistimiento,13
2018,PERGAMINO,Desistimiento,18
2018,QUILMES,Desistimiento,146
2018,SAN ISIDRO,Desistimiento,510
2018,SAN MARTIN,Desistimiento,236
2018,SAN NICOLAS,Desistimiento,18
2018,TRENQUE LAUQUEN,Desistimiento,6
2018,ZARATE-CAMPANA,Desistimiento,70
2018,AZUL,Interlocutorios,1659
2018,AZUL Sede OLAVARRIA,Interlocutorios,63
2018,AZUL Sede TANDIL,Interlocutorios,945
2018,BAHIA BLANCA,Interlocutorios,1453
2018,BAHIA BLANCA Sede TRES ARROYOS,Interlocutorios,432
2018,DOLORES,Interlocutorios,379
2018,JUNIN,Interlocutorios,188
2018,LA MATANZA,Interlocutorios,971
2018,LA PLATA,Interlocutorios,3050
2018,LOMAS DE ZAMORA,Interlocutorios,1395
2018,LOMAS DE ZAMORA Sede AVELLANEDA,Interlocutorios,244
2018,LOMAS DE ZAMORA Sede LANUS,Interlocutorios,15
2018,MAR DEL PLATA,Interlocutorios,1334
2018,MERCEDES,Interlocutorios,1049
2018,MORENO-GRAL.RODRIGUEZ,Interlocutorios,938
2018,MORON,Interlocutorios,1337
2018,NECOCHEA,Interlocutorios,544
2018,PERGAMINO,Interlocutorios,114
2018,QUILMES,Interlocutorios,1271
2018,SAN ISIDRO,Interlocutorios,1843
2018,SAN MARTIN,Interlocutorios,1041
