anio,departamento/sede,tipo,valor
2017,NECOCHEA,Desistimiento,4
2017,PERGAMINO,Desistimiento,0
2017,QUILMES,Desistimiento,31
2017,QUILMES Sede FLORENCIO VARELA,Desistimiento,2
2017,SAN ISIDRO,Desistimiento,31
2017,SAN ISIDRO Sede PILAR,Desistimiento,5
2017,SAN MARTIN,Desistimiento,23
2017,SAN MARTIN Sede SAN MIGUEL,Desistimiento,24
2017,SAN NICOLAS,Desistimiento,8
2017,TRENQUE LAUQUEN,Desistimiento,24
2017,ZARATE-CAMPANA Sede CAMPANA,Desistimiento,9
2017,ZARATE-CAMPANA Sede ZARATE,Desistimiento,21
2017,AZUL,Interlocutorios,0
2017,AZUL Sede OLAVARRIA,Interlocutorios,10
2017,AZUL Sede TANDIL,Interlocutorios,0
2017,BAHIA BLANCA,Interlocutorios,0
2017,BAHIA BLANCA Sede TRES ARROYOS,Interlocutorios,10
2017,DOLORES,Interlocutorios,1
2017,JUNIN,Interlocutorios,59
2017,LA MATANZA,Interlocutorios,69
2017,LA PLATA,Interlocutorios,16
2017,LOMAS DE ZAMORA,Interlocutorios,5
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Interlocutorios,6
2017,LOMAS DE ZAMORA Sede LANUS,Interlocutorios,25
2017,MAR DEL PLATA,Interlocutorios,20
2017,MERCEDES,Interlocutorios,31
2017,MERCEDES Sede BRAGADO,Interlocutorios,30
2017,MORENO-GRAL.RODRIGUEZ,Interlocutorios,1
2017,MORON,Interlocutorios,40
2017,NECOCHEA,Interlocutorios,11
2017,PERGAMINO,Interlocutorios,0
2017,QUILMES,Interlocutorios,1
2017,QUILMES Sede FLORENCIO VARELA,Interlocutorios,4
2017,SAN ISIDRO,Interlocutorios,15
2017,SAN ISIDRO Sede PILAR,Interlocutorios,8
2017,SAN MARTIN,Interlocutorios,27
2017,SAN MARTIN Sede SAN MIGUEL,Interlocutorios,23
2017,SAN NICOLAS,Interlocutorios,108
2017,TRENQUE LAUQUEN,Interlocutorios,1
2017,ZARATE-CAMPANA Sede CAMPANA,Interlocutorios,1
2017,ZARATE-CAMPANA Sede ZARATE,Interlocutorios,0
2017,AZUL,Incompetencia,1
2017,AZUL Sede OLAVARRIA,Incompetencia,3
2017,AZUL Sede TANDIL,Incompetencia,17
2017,BAHIA BLANCA,Incompetencia,8
2017,BAHIA BLANCA Sede TRES ARROYOS,Incompetencia,1
2017,DOLORES,Incompetencia,2
2017,JUNIN,Incompetencia,6
2017,LA MATANZA,Incompetencia,35
2017,LA PLATA,Incompetencia,58
2017,LOMAS DE ZAMORA,Incompetencia,135
2017,LOMAS DE ZAMORA Sede AVELLANEDA,Incompetencia,25
2017,LOMAS DE ZAMORA Sede LANUS,Incompetencia,28
2017,MAR DEL PLATA,Incompetencia,36
2017,MERCEDES,Incompetencia,29
2017,MERCEDES Sede BRAGADO,Incompetencia,4
2017,MORENO-GRAL.RODRIGUEZ,Incompetencia,32
2017,MORON,Incompetencia,47
2017,NECOCHEA,Incompetencia,9
2017,PERGAMINO,Incompetencia,0
2017,QUILMES,Incompetencia,200
2017,QUILMES Sede FLORENCIO VARELA,Incompetencia,31
2017,SAN ISIDRO,Incompetencia,193
2017,SAN ISIDRO Sede PILAR,Incompetencia,14
2017,SAN MARTIN,Incompetencia,181
2017,SAN MARTIN Sede SAN MIGUEL,Incompetencia,10
2017,SAN NICOLAS,Incompetencia,6
2017,TRENQUE LAUQUEN,Incompetencia,3
2017,ZARATE-CAMPANA Sede CAMPANA,Incompetencia,28
2017,ZARATE-CAMPANA Sede ZARATE,Incompetencia,42
2017,AZUL,Total Resueltas,320
2017,AZUL Sede OLAVARRIA,Total Resueltas,360
2017,AZUL Sede TANDIL,Total Resueltas,498
2017,BAHIA BLANCA,Total Resueltas,1156
2017,BAHIA BLANCA Sede TRES ARROYOS,Total Resueltas,261
2017,DOLORES,Total Resueltas,1305
2017,JUNIN,Total Resueltas,1190
2017,LA MATANZA,Total Resueltas,2122
